time,temperature_2m_max,temperature_2m_min,precipitation_sum,lokasi,Tahun
2017-09-04,31.0,25.9,0.0,Makassar,2017
2017-09-05,30.9,22.4,0.0,Makassar,2017
2017-09-06,31.3,22.1,0.0,Makassar,2017
2017-09-07,31.8,24.0,0.0,Makassar,2017
2017-09-08,31.1,24.5,0.0,Makassar,2017
2017-09-09,31.0,23.6,0.0,Makassar,2017
2017-09-10,30.8,24.8,0.0,Makassar,2017
2017-09-11,33.2,25.5,0.2,Makassar,2017
2017-09-12,31.3,24.1,0.0,Makassar,2017
2017-09-13,32.9,25.3,0.7,Makassar,2017
2017-09-14,31.0,24.9,0.3,Makassar,2017
2017-09-15,31.0,25.5,0.3,Makassar,2017
2017-09-16,31.9,25.1,0.2,Makassar,2017
2017-09-17,31.5,25.5,0.0,Makassar,2017
2017-09-18,32.8,24.2,0.0,Makassar,2017
2017-09-19,31.5,23.2,0.0,Makassar,2017
2017-09-20,32.3,22.5,0.0,Makassar,2017
2017-09-21,30.5,25.8,0.0,Makassar,2017
2017-09-22,30.5,26.3,5.2,Makassar,2017
2017-09-23,29.8,24.9,41.2,Makassar,2017
2017-09-24,29.6,24.2,11.3,Makassar,2017
2017-09-25,29.1,24.3,2.5,Makassar,2017
2017-09-26,31.0,24.5,0.0,Makassar,2017
2017-09-27,31.2,24.4,0.0,Makassar,2017
2017-09-28,30.7,24.0,0.0,Makassar,2017
2017-09-29,30.8,23.5,0.0,Makassar,2017
2017-09-30,30.4,24.2,0.7,Makassar,2017
2017-10-01,29.6,25.0,1.4,Makassar,2017
2017-10-02,29.3,24.5,2.1,Makassar,2017
2017-10-03,29.3,24.5,6.4,Makassar,2017
2017-10-04,30.0,25.4,1.7,Makassar,2017
2017-10-05,29.5,24.8,4.7,Makassar,2017
2017-10-06,31.5,24.5,0.3,Makassar,2017
2017-10-07,31.4,23.7,0.1,Makassar,2017
2017-10-08,30.3,24.5,0.2,Makassar,2017
2017-10-09,31.0,24.8,0.0,Makassar,2017
2017-10-10,30.6,25.6,1.1,Makassar,2017
